caseId,question,expectedValue,sourceUrl,sourceLocator,reviewer1,reviewer1Decision,reviewer1Notes,reviewer2,reviewer2Decision,reviewer2Notes,adjudicator,adjudicatedDecision,adjudicationNotes,reviewedAt
ext-001,Chlorantraniliprole 的 CAS 登记号是什么？,500008-45-7,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-002,Prothioconazole 的 CAS 登记号是什么？,178928-70-6,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-003,Tebuconazole 的 CAS 登记号是什么？,107534-96-3,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-004,Glyphosate 的 CAS 登记号是什么？,1071-83-6,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-005,Cypermethrin 的 CAS 登记号是什么？,52315-07-8,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-006,Azadirachtin 的 CAS 登记号是什么？,11141-17-6,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-007,Abamectin 的 CAS 登记号是什么？,71751-41-2,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-008,Metaldehyde 的 CAS 登记号是什么？,108-62-3,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-009,Fenitrothion 的 CAS 登记号是什么？,122-14-5,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-010,Ethylene 的 CAS 登记号是什么？,74-85-1,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/synonyms/JSON",Names and Identifiers / CAS,,,,,,,,,,
ext-011,Chlorantraniliprole 的分子式是什么？,C18H14BrCl2N5O2,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-012,Prothioconazole 的分子式是什么？,C14H15Cl2N3OS,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-013,Tebuconazole 的分子式是什么？,C16H22ClN3O,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-014,Glyphosate 的分子式是什么？,C3H8NO5P,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-015,Cypermethrin 的分子式是什么？,C22H19Cl2NO3,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-016,Azadirachtin 的分子式是什么？,C35H44O16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-017,Abamectin 的分子式是什么？,C95H142O28,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-018,Metaldehyde 的分子式是什么？,C8H16O4,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
